@types/bluebird 3.5.5
@types/chai 3.4.34
@types/config 0.0.32
@types/config 0.0.33
@types/es6-promise 0.0.32
@types/express 4.0.35
@types/express 4.0.39
@types/express-serve-static-core 4.0.53
@types/lodash 3.10.0
@types/lodash 4.14.105
@types/mocha 2.2.39
@types/mongodb 2.2.3
@types/mongoose 4.7.26
@types/Mongoose 4.7.6
@types/nock 9.1.2
@types/node 4.2.1
@types/node 6.0.87
@types/node 8.9.4
@types/request 2.47.0
@types/semver 5.5.0
@types/sinon 1.16.35
@types/sinon 2.2.0
@types/sinon 4.1.2
@types/supertest-as-promised 2.0.32
access-sniff 3.1.0
amqp-connection-manager 1.3.1
amqp-connection-manager 1.3.7
amqp.node 0.5.2
amqplib 0.4.2
angular -  protractor 2.0.0
Angular UI ui-select 0.16.1
angular-awesome-slider 2.3.5
angular-bootstrap 0.13.4
angular-bootstrap-npm 0.13.4
angular-cookies 1.3.13
angular-deferred-bootstrap 0.1.9
angular-dragdrop - ganarajpr/angular-dragdrop 1.0.6
angular-dynamic-locale 0.1.29
angular-file-saver 1.1.3
angular-file-upload - danialfarid/angular-file-upload 12.2.13
angular-file-upload - danialfarid/angular-file-upload 3.0.2
angular-filter 0.5.1
angular-filter 0.5.17
angular-material master-223c3da585
angular-moment 0.9.0
angular-moment 1.2.0
angular-skrollr 0.1.4
angular-skrollr 0.2.1
angular-szn-autocomplete-build 1.0.12
angular-szn-autocomplete-build 1.0.2
angular-translate 2.17.0
angular-translate 2.8.1
angular-ui-router 0.2.11
angular-xeditable 0.1.8
angular.js 1.3.13
angular.js 1.3.20
angular.js 1.4.8
angular.js 1.6.8
angular.js 1.6.9
AngularJS - ui-grid 4.2.2
AngularJS Animate 1.3.13
AngularJS Animate 1.3.14
AngularJS Animate 1.3.20
AngularJS Cookies 1.3.14
AngularJS Cookies 1.3.20
AngularJS Resource 1.3.13
AngularJS Resource 1.3.14
AngularJS Resource 1.3.20
AngularJS Sanitize 1.3.13
AngularJS Sanitize 1.3.14
AngularJS Sanitize 1.3.20
angulartics 0.17.2
animate.css 3.2.0
Apache Jakarta Commons CLI 1.3.1
Apache Standard Http Daemon (httpd) 2.4.29
Apache Tika 1.11
Apache Tika 1.17
Automattic - mongoose 4.9.6
autoprefixer 3.1.1
axios 0.17.1
axios-mock-adapter 1.10.0
babel - a compiler for writing next generation JavaScript 6.23.0
babel - a compiler for writing next generation JavaScript 6.26.0
babel-loader 7.1.2
babel-plugin-angularjs-annotate 0.8.2
babel-preset-env 1.4.0
babelify 7.3.0
bc-java 1.54
blink-diff 2.0.1
body-parser 1.11.0
body-parser 1.14.2
body-parser 1.15.2
body-parser 1.17.1
body-parser 1.18.2
bootprint 1.0.0
bootprint-openapi 1.0.1
Bootstrap 3.1.1
bootstrap-less 3.3.8
bootstrap-sass 3.3.5.1
bower-angular-translate-interpolation-messageformat 2.11.0
bower-angular-translate-interpolation-messageformat 2.15.1
bower-angular-translate-loader-static-files - PascalPrecht/bower-angular-translate-loader-static-f 2.15.1
bower-angular-translate-loader-static-files - PascalPrecht/bower-angular-translate-loader-static-f 2.8.1
bowser 1.0.0
brfs 1.4.3
browser-sync 2.17.3
browser-sync 2.18.11
browser-sync-middleware-spa 1.0.0
browserify-istanbul 0.1.5
browserify-istanbul 1.0.0
browserify-istanbul 2.0.0
browserify-istanbul 3.0.1
busboy 0.2.13
cadvisor 0.28.3
caolan-async 1.5.0
chai 3.5.0
chai 4.1.2
chai-as-promised 5.3.0
chai-as-promised 7.1.1
chardin.js 0.1.3
chart.js-v2 1.0.1
ChromeDriver - WebDriver for Chrome 2.23
chromedriver 2.22
Clam AntiVirus - clamav 0.99.2
composable-middleware 0.3.0
compression 1.4.0
compression 1.6.1
compression 1.6.2
compression 1.7.2
connect-livereload 0.5.2
connect-livereload 0.5.4
connect-livereload 0.6.0
connect-mongo 0.4.2
consul 0.8.4
consul 0.9.3
consul-template v0.18.1
cookie-parser 1.3.3
cookie-parser 1.4.1
cookie-parser 1.4.3
crossroads.js 0.12.1
Cssprima 0.1.0
cucumber-js 1.2.1
cucumber-js 1.3.2
cucumber-js v2.1.0
curator - elasticsearch/curator 3.5.0
d3-browserify 3.4.12
d3-plugins master-c64935bf2a
dagre 0.7.0
danger-js 1.2.0
david-www 19.1.1
david-www 23.1.3
del 2.2.2
devbridge-autocomplete 1.2.24
dicer - mscdex/dicer 0.2.5
docker 17.09.0-ce
Docker Engine SELinux 1.10.2
dockerode 2.5.3
docsearch 1.0.2
download 5.0.2
Drupal - Administration Menu 7.x-3.0-rc5
Drupal - Chaos tool suite (ctools) 7.x-1.9
Drupal - clamav 7.x-1.x-dev
Drupal - CORS 7.x-1.3
Drupal - Date 7.x-2.8
Drupal - Entity API 7.x-1.6
Drupal - FCKeditor 7.x-1.18
Drupal - Features 7.x-2.6
Drupal - Features Extra 7.x-1.0
Drupal - Feeds 7.x-2.0-beta1
Drupal - Feeds Image Grabber 7.x-1.0-alpha2
Drupal - Feeds URL Fetcher 7.x-1.0
Drupal - Feeds XPath Parser 7.x-1.1
Drupal - Feeds:MediaRSS 7.x-1.0-beta1
Drupal - File Entity 7.x-2.0-beta2
Drupal - Global Redirect 7.x-1.5
Drupal - Import HTML 7.x-1.0
Drupal - Job Scheduler 7.x-2.0-alpha3
Drupal - JW Player 7.x-1.0-alpha1
Drupal - Libraries API 7.x-2.2
Drupal - Link 7.x-1.3
Drupal - Media 7.x-2.0-beta1
Drupal - Media Feeds 7.x-2.0-alpha1
Drupal - Node export 7.x-3.0
Drupal - Pathauto Module 7.x-1.2
Drupal - Search API 7.x-1.16
Drupal - Search API Grouping 7.x-2.0-rc2
Drupal - Search API live results 7.x-1.0
Drupal - Search API pages 7.x-1.2
Drupal - Search API Solr Search 7.x-1.9
Drupal - search_api 7.x-1.19
Drupal - Services 7.x-3.12
Drupal - Smart Trim 7.x-1.5
Drupal - Strongarm 7.x-2.0
Drupal - Token 7.x-1.6
Drupal - Universally Unique Identifier 7.x-1.0-alpha6
Drupal - UUID Features Integration 7.x-1.x-dev
Drupal - Views 7.x-3.11
Drupal - views 7.x-3.14
Drupal - Views Datasource 7.x-1.0-alpha2
drupal 7.56
drupal 7.58
Drupal cURL HTTP Request 7.x-1.8
Drupal Statistics AJAX 7.x-1.1
Drupal View User Pictures URL 7.x-1.0-beta1
Drupal Voting API 7.x-2.12
elasticsearch 5.5.1
Elasticsearch: Core 5.0.1
Elysia Cron 7.x-2.2
eslint 3.12.2
eslint 3.19.0
eslint 4.12.1
eslint 4.19.1
eslint-plugin-chai-friendly 0.4.0
eslint-plugin-chai-friendly 0.4.1
eslint-plugin-mocha 4.11.0
eslint-plugin-mocha 4.8.0
eslint-plugin-promise 3.5.0
eslint-plugin-promise 3.6.0
eslint-plugin-protractor 1.40.0
ews-javascript-api 0.9.2
ews-javascript-api-auth 1.2.1
exif-reader-paras20xx 1.0.2
express 4.16.2
express-jwt 0.6.2
express-jwt 3.0.0
express-jwt 3.3.0
express-session 1.10.2
fancy-log 1.3.2
FileBeat 5.0.1
firefox-profile 0.3.13
firefox-profile 0.4.5
fluent-plugin-elasticsearch 1.9.2
fluentd 0.12.0
Font-Awesome 4.3.0
forever 0.15.1
front-mailparser 2.2.0
global-tunnel 1.2.0
gm 1.21.1
GoogleChrome-workbox 2.1.2
grafana 4.4.3
GraphicsMagick 1.3.26
GraphicsMagick 1.3.28
gridfs-stream 0.5.3
gridfs-stream 1.1.1
grunt 0.4.5
grunt-browserify 5.0.0
grunt-contrib-clean 0.7.0
grunt-contrib-compress 1.4.2
grunt-contrib-concat - gruntjs/grunt-contrib-concat 0.5.1
grunt-contrib-cssmin 0.12.2
grunt-contrib-cssmin 0.14.0
grunt-contrib-htmlmin 0.4.0
grunt-contrib-less 1.0.1
grunt-contrib-rename 0.0.3
grunt-contrib-uglify 0.11.0
grunt-contrib-uglify 0.8.0
grunt-env 0.4.4
grunt-eslint 17.3.2
grunt-eslint 18.0.0
grunt-exorcise 2.1.1
grunt-express-server 0.5.1
grunt-ng-annotate 1.0.1
grunt-openui5 0.12.0
grunt-properties-to-json 0.5.1
grunt-protractor-runner 3.2.0
grunt-sonar-runner 2.4.7
grunt-svg-sprite 1.2.19
grunt-wait 0.1.0
gruntjs - grunt-cli 0.1.13
gruntjs - grunt-contrib-copy 0.8.2
Guava (Google Common Libraries) 19.0
gulp - wearefractal/gulp 3.9.1
gulp-angular-templatecache 1.9.1
gulp-apidoc 0.2.4
gulp-apidoc 0.2.5
gulp-autoprefixer 3.1.1
gulp-concat 2.6.1
gulp-debug 3.0.0
gulp-eslint 3.0.1
gulp-eslint 4.0.0
gulp-forever-monitor 0.0.3
gulp-forever-monitor 1.0.3
gulp-gh-pages - rowoot/gulp-gh-pages 0.5.4
gulp-header - godaddy/gulp-header 1.2.2
gulp-help 1.6.1
gulp-html2js 0.2.0
gulp-htmllint 0.0.15
gulp-htmlmin 3.0.0
gulp-if 2.0.2
gulp-istanbul 1.1.1
gulp-istanbul 1.1.2
gulp-jsdoc-to-markdown 1.2.2
gulp-jsinspect 2.0.0
gulp-line-ending-corrector 1.0.1
gulp-load-plugins 1.4.0
gulp-mocha 3.0.1
gulp-ng-annotate 2.0.0
gulp-ng-html2js 0.2.2
gulp-plumber 1.1.0
gulp-print 2.0.1
gulp-props2json 2.0.0
gulp-qunit 1.5.2
gulp-rename 1.2.2
gulp-replace 0.5.4
gulp-run 1.7.1
gulp-sonar - machellerogden/gulp-sonar 3.0.0
gulp-sonar - machellerogden/gulp-sonar 3.0.1
gulp-sourcemaps 2.1.1
gulp-sourcemaps 2.2.0
gulp-sourcemaps 2.6.1
gulp-spawn-mocha 3.1.0
gulp-spawn-mocha 4.0.1
gulp-ssh 0.6.0
gulp-stylelint 3.9.0
gulp-svg-sprite 1.3.6
gulp-task-listing 1.0.1
gulp-tslint 7.1.0
gulp-tslint 8.1.2
gulp-ttkm 3.3.0
gulp-typescript 3.1.4
gulp-typescript 3.2.3
gulp-uglify 2.0.0
gulp-uglify-harmony 1.5.4
gulp-untar 0.0.5
gulp-util 3.0.8
gulp-watch 4.3.11
gulp-zip 4.0.0
gunzip-maybe 1.4.1
handlebars.js 4.0.0
handlebars.js 4.0.11
handlebars.js 4.0.5
HAProxy 1.7.8
headers-more-nginx-module 0.29
heatmap.js 2.0
heatmap.js 2.0.2
hostname-config 1.17.1
hostname-config 1.19.0
hostname-config 1.24.0
i18n-iso-countries 1.2.0
i18n-iso-countries 1.6.0
image-size 0.4.0
imagesloaded 3.1.8
istanbul-for-harmony 0.4.5
istanbul-instrumenter-loader 3.0.0
jackson-databind 2.7.5
jackson-databind 2.7.9.1
jackson-databind 2.8.11.1
jjwt 0.6.0
jquery - jquery/jquery 2.1.3
jQuery UI - jquery/jquery-ui on GitHub 1.10.5
js-beautify - beautify-web/js-beautify 1.7.4
js-bson V0.4.23
js-polyfills 0.1.6
JS-Signals 1.0.0
js-xlsx 0.8.18
js-yaml 3.10.0
jsdoc-to-markdown 3.0.0
jsdoc-to-markdown 3.0.2
jsen 0.6.1
jsen 0.6.6
json-stable-stringify - substack/json-stable-stringify 1.0.1
jsPlumb 1.7.10
jsPlumb 1.7.2
jsplumb 2.1.4
jszip 2.4.0
jszip 3.0.0
k1ngdr3w-gulp-protractor 1.0.0
k1ngdr3w-gulp-protractor 2.4.0
k1ngdr3w-gulp-protractor 3.0.0
k1ngdr3w-gulp-protractor 4.0.0
karma 1.3.0
karma 1.7.1
karma-babel-preprocessor 7.0.0
karma-browserify - xdissent/karma-browserify 5.0.5
karma-browserify - xdissent/karma-browserify 5.1.0
karma-browserify - xdissent/karma-browserify 5.1.2
karma-browserify - xdissent/karma-browserify 5.2.0
karma-chai 0.1.0
karma-chai-plugins 0.8.0
karma-chai-plugins 0.9.0
karma-chrome-launcher v2.1.0
karma-coverage 1.1.1
karma-jasmine 0.1.6
karma-jasmine 1.1.0
karma-junit-reporter 1.2.0
karma-mocha 1.3.0
karma-ng-html2js-preprocessor-next 1.0.0
karma-phantomjs-launcher 1.0.2
karma-sinon-chai 1.2.4
karma-sinon-chai 1.3.1
karma-sinon-chai 1.3.3
karma-spec-reporter 0.0.26
keymirror 0.1.1
Kibana 5.5.1
lcov-result-merger 1.2.0
lerna-motion 2.5.1
less-plugin-autoprefix 1.5.1
less-plugin-clean-css 1.5.1
LibreOffice 5.1.6.2
lodash 2.4.1
lodash 3.8.0
lodash 4.0.0
lodash 4.11.1
lodash 4.17.5-npm
lodash 4.2.1
lodash-node 2.4.1
logstash 5.0.1
lsyncd 2.1.6
machine - docker/machine v0.12.0
MailDev 1.0.0-rc3
merge-stream 1.0.1
method-override 2.3.1
method-override 2.3.10
method-override 2.3.5
method-override 2.3.8
miniflycn - htmlparser2 3.8.3
minimist 1.2.0
mkdirp 0.5.0
mobile-detect.js v1.3.6
mocha-jenkins-reporter 0.3.10
mocha-jenkins-reporter 0.3.5
mocha-jenkins-reporter 0.3.7
mocha-jenkins-reporter 0.3.8
mocha-jenkins-reporter 0.3.9
mocha-papandreou 3.2.0
mocha-papandreou 4.0.1
moment 2.11.2
moment 2.17.1
moment 2.21.0
moment 2.8.4
moment-duration-format 1.3.0
moment-duration-format 2.2.2
moment-timezone 0.5.14
mongo - mongodb/mongo 3.2.18
mongo-python-driver 3.0rc0
mongodb-core 1.3.18
mosca 1.1.2
MQTT.js 1.7.3
multer 0.1.7
multer 1.1.0
nan 2.6.2
natural-compare-lite 1.4.0
ng-annotate-loader 0.6.1
ng-grid 3.0.0-rc.22
ng-grid v3.0.0-RC.18
ng-redux 3.3.0
ng-slider 2.1.2
ng-tags-input 3.0.0
nginx 1.12.2
ngTagsInput 2.3.0
nock 9.0.13
node xmldom 0.1.22
node xpath 0.0.22
node xpath 0.0.23
node_acl 0.4.7
node_acl 0.4.9
node-browserify 13.3.0
node-browserify 16.1.1
node-bunyan 1.5.1
node-extend - justmoon/node-extend 3.0.0
node-handlebars 0.9.5
node-htmlparser 1.7.7
node-jenkins-api 0.3.1
node-jsonwebtoken 0.3.0
node-jsonwebtoken 5.0.0
node-jsonwebtoken 5.4.1
node-jsonwebtoken 5.5.4
node-jsonwebtoken 7.1.9
node-jws 3.1.3
node-mime 1.2.11
node-mime 1.4.0
node-mime 2.2.0
node-mongodb-native 2.2.26
node-mongodb-native 2.2.33
node-mv 2.1.1
node-restify 4.0.3
node-rss 1.1.1
node-semver 5.3.0
node-semver 5.4.1
node-semver 5.5.0
node-sleep 5.1.1
node-unzip-2 0.2.5
node-unzipper 0.4.1
node-webshot 0.16.0
node-x509 0.3.2
Node.js 8.9.4
Nodejs-config 1.28.1
Nodemailer 1.3.0
Nodemailer 2.7.0
Nodemailer 4.4.2
Nodemailer 4.6.3
npm 3.10.3
npm-install-version 6.0.2
ntest001 4.11.2
ntest001 4.13.4
ntest001 4.14.0
ntest001 4.15.2
object-assign 2.0.0
on-finished 2.2.0
on-finished 2.3.0
OpenSSL - fips 1.0.2n
OpenUI5 Runtime 1.26.6
otp 19.3
passport - jaredhanson/passport 0.2.1
passport-facebook 1.0.3
passport-linkedin-oauth2 1.2.1
passport-local - jaredhanson/passport-local 0.1.6
Path 0.12.7
pdfjs-dist 1.5.341
peril 0.0.1
phantom-render-stream 2.2.0
phantomjs - Obvious/phantomjs 2.1.13
phantomjs - Obvious/phantomjs 2.1.9
phantomjs 2.1.1
phantomjs-prebuilt 2.1.7
pica 1.0.7
pica 2.0.5
pica 4.1.1
plugin-error 1.0.1
portainer 1.14.3
postcss-sass 0.2.0
postcss-scss 0.2.0
PostgreSQL Database Server 9.5.3
PostgreSQL Database Server 9.5.8
PostgreSQL Database Server REL9_4_6
prism 1.5.1
prism 1.6.0
prism-themes 1.0.0
prometheus 1.7.1
prometheus-node_exporter 0.15.0
protractor-accessibility-plugin 0.3.0
protractor-cucumber-framework 0.6.0
protractor-cucumber-framework 3.1.0
protractor-istanbul-plugin 2.0.0
Puppeteer 0.13.0
Puppeteer 1.0.0
Q in javascript 1.1.2
rabbitmq-mqtt v3_6_1
rabbitmq-server 3.6.1
rabbitmq-server 3.6.8
rabbitmq-server v3_6_6
rally-jasmine-core 2.5.2
rally-jasmine-core 2.6.1
Redirects 404 7.x-1.1
redux-saga 0.16.0
redux-todos-example 3.6.0
remap-istanbul 0.9.1
remap-istanbul 0.9.5
replacestream 2.1.0
replacestream 4.0.2
request 2.51.0
request 2.69.0
request 2.79.0
request 2.83.0
requestify 0.1.17
require-dir 0.3.1
requireDir 1.0.0
reselect 3.0.1
restify-cookies 0.2.0
REX-Ray 0.10.2
REX-Ray 0.11.0
REX-Ray 0.9.1
rimraf 2.3.3
run-sequence 1.2.2
rundeck 2.10.0
rundeck 2.6.11
sanitize-html 1.11.2
sax-js 0.6.1
scania-gulp-htmlhint 0.3.1
screenshot-stream 2.1.1
screenshot-stream 3.3.0
selectize 0.12.4
serve-favicon 2.3.0
Services Basic Authentication 7.x-1.4
sharp 0.18.2
shaunhtmltest 3.8.3
shrinkwrap-check 0.1.4
simple-user-action 0.9.0
simple-user-action 1.4.2
sinon-chai 2.14.0
sinon-chai 2.9.0
Sinon.JS 1.17.7
Sinon.JS 2.2.0
Sinon.JS 4.1.3
skrollr - Prinzhorn/skrollr 0.6.30
smtp-server 3.4.1
solr-client-post 0.6.0
SonarTS 1.1.1
SonarTS 1.2.0
Sortable 1.0.0
Sortable 1.4.2
Sortable 1.5.1
Squid - Optimising Web Delivery 3.3.8
Squid 3.5.27
standard-version 4.2.0
streamifier 0.1.0
streamifier 0.1.1
stylelint 7.9.0
stylelint 8.3.1
superagent.TypeScript.DefinitelyTyped 2.0.37
supertest - visionmedia/supertest 1.2.0
supertest - visionmedia/supertest 3.0.0
supertest-as-promised 3.1.0
supervisor 3.2.0-2
supervisor 3.3.4
svg-sprite 1.2.19
svg-sprite 1.3.3
svg-sprite 1.3.6
swagger-jsdoc 1.9.2
tar-fs 1.15.3
tar-fs 1.16.0
textAngular 1.3.11
textangular 1.4.6
textAngular 1.5.16
through2 2.0.3
time-grunt - sindresorhus/time-grunt 1.3.0
tippyjs 1.3.0
tippyjs 2.2.3
Ts-node 2.1.0
ts-node-extendable 3.3.0
tslint 4.4.2
tslint 5.8.0
tslint-consistent-codestyle 1.11.0
tslint-eslint-rules 4.1.1
tslint-no-unused-expression-chai 0.0.3
tv4 1.2.7
type-is 1.6.10
type-is 1.6.12
type-is 1.6.14
types-supertest 1.1.32
types-supertest 2.0.3
TypeScript Language 2.1.5
TypeScript Language 2.5.3
TypeScript Language 2.6.1
TypeScript Language 2.6.2
typescript-json-schema 0.11.0
typson 0.6.0
ui-router 0.2.15
ui-router 0.3.2
ui-router 0.4.3
ui-router-extras 0.0.14
ui-select 0.17.1
unitegallery master-c85923df86
unoconv 0.7
uuid4 1.0.0
vault project 0.8.3
Vertical Timeline 20140612
vinyl 0.4.6
vinyl-buffer 1.0.0
